variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
prod_res_ma3,0.09212812915255834,0.00363846108734554,25.320630602035912,6.145444446321246e-15,fe0215_le,~siren+an,12,12551,113990,0.19748304994990207,0.19733517637178322,0.19642790869933513,0.1963997052706078,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
before1994,8.726098293796263e-4,0.0026788230756265696,0.3257437332532777,0.7485935274320702,fe0215_le,~siren+an,12,12551,113990,0.19748304994990207,0.19733517637178322,0.19642790869933513,0.1963997052706078,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
maxmfg,0.02078467881905045,0.00247699399086765,8.391089722333126,1.8943265817518645e-7,fe0215_le,~siren+an,12,12551,113990,0.19748304994990207,0.19733517637178322,0.19642790869933513,0.1963997052706078,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
ln_emp_ma3,0.015404677239679825,0.0010159344427659457,15.163062291440399,2.6076981304600528e-11,fe0215_le,~siren+an,12,12551,113990,0.0508557654571985,0.050680874005866516,0.04960784012111508,0.04957448366457007,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
tfp_cd_ma3,0.004933437787216368,0.005021077840366025,0.9825455697091389,0.33960887573375564,fe0215_le,~siren+an,12,12551,113990,0.0508557654571985,0.050680874005866516,0.04960784012111508,0.04957448366457007,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
before1994,-0.0029235978596288733,0.0029360290878837126,-0.9957659723787683,0.333327184038551,fe0215_le,~siren+an,12,12551,113990,0.0508557654571985,0.050680874005866516,0.04960784012111508,0.04957448366457007,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
maxmfg,0.016964815917621733,0.0027466820291478906,6.176476103746442,1.0148797034545099e-5,fe0215_le,~siren+an,12,12551,113990,0.0508557654571985,0.050680874005866516,0.04960784012111508,0.04957448366457007,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
ln_emp_ma3,0.015689513336749273,0.0010054857729433395,15.603913808568029,1.6523738893661782e-11,fe0215_le,~siren+an,12,12551,113990,0.05356131006899012,0.05338691714739319,0.05231694195587244,0.0522836805822221,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
tfp_tl_ma3,0.03683864804454548,0.009664058940826678,3.811922947708579,0.0013942852705400766,fe0215_le,~siren+an,12,12551,113990,0.05356131006899012,0.05338691714739319,0.05231694195587244,0.0522836805822221,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
before1994,-0.00259929941094133,0.002937220316840368,-0.8849521420093719,0.38852814605812336,fe0215_le,~siren+an,12,12551,113990,0.05356131006899012,0.05338691714739319,0.05231694195587244,0.0522836805822221,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
