variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.0019361320428792298,0.0011325749868714321,1.7094956760677746,0.0910077407545579,fe0215_mlo,~minmax_year,12,6799,6799,0.041008819709401956,0.028576658677471944,0.021807391929936637,0.021515872750061726,le5_panelsize0-acco,fe0215_mlo~wage_agreement_share_07+ln_emp_mean_0215 | minmax_year
wage_agreement_share_07,0.029289322554201507,0.0014105586928847347,20.764341605879505,4.798362274823821e-35,fe0215_mlo,~minmax_year,12,6799,6799,0.26839647784620035,0.25087501979190696,0.017078975236630267,0.016930922664742387,le5_panelsize0-acco,fe0215_mlo~wage_agreement_share_07 | minmax_year+naf2d_num_main
extwage_agreement_ind_07,0.02669980061928573,0.0018372993049636313,14.532090959352017,9.25761528864527e-25,fe0215_mlo,~minmax_year,12,6799,6799,0.030940025823188777,0.01852358396097109,0.011536995335996836,0.011389727307888342,le5_panelsize0-acco,fe0215_mlo~extwage_agreement_ind_07 | minmax_year
extwage_agreement_ind_07,0.02414747818480624,0.0020577020483798715,11.735167491240395,1.8127177552973565e-19,fe0215_mlo,~minmax_year,12,6799,6799,0.03228283478695293,0.01973755191204085,0.012906690729864945,0.012612518979225662,le5_panelsize0-acco,fe0215_mlo~extwage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.003971079241846174,0.0012743814489287201,3.116083685292478,0.0024996472555428315,fe0215_mlo,~minmax_year,12,6799,6799,0.03228283478695293,0.01973755191204085,0.012906690729864945,0.012612518979225662,le5_panelsize0-acco,fe0215_mlo~extwage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
extwage_agreement_ind_07,0.017661287210102967,0.0014685579790538535,12.026278473173793,4.896975888452405e-20,fe0215_mlo,~minmax_year,12,6799,6799,0.260288023947446,0.24257237336869075,0.006185137831437149,0.00603544437426462,le5_panelsize0-acco,fe0215_mlo~extwage_agreement_ind_07 | minmax_year+naf2d_num_main
wage_agreement_ind_07,0.032592987730253827,0.0017532320660508197,18.5902302161687,1.0833926180267112e-31,fe0215_le,~minmax_year,12,6799,6799,0.038221785580625056,0.02589864397751629,0.02002465688291266,0.019878653405094315,le5_panelsize0-acco,fe0215_le~wage_agreement_ind_07 | minmax_year
wage_agreement_ind_07,0.03206852668022513,0.0020362442477174555,15.7488605387947,6.211530289286004e-27,fe0215_le,~minmax_year,12,6799,6799,0.038257462437733536,0.025789633385741695,0.02006100875672523,0.019768969122917035,le5_panelsize0-acco,fe0215_le~wage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,6.591010876346465e-4,0.0012639453169082046,0.5214632934017307,0.6034001459354286,fe0215_le,~minmax_year,12,6799,6799,0.038257462437733536,0.025789633385741695,0.02006100875672523,0.019768969122917035,le5_panelsize0-acco,fe0215_le~wage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
wage_agreement_ind_07,0.025323231375509923,0.0013699278085410522,18.485084555279375,1.5963291207336115e-31,fe0215_le,~minmax_year,12,6799,6799,0.25912759172132427,0.24138414949865383,0.01454520604265841,0.014396771821547194,le5_panelsize0-acco,fe0215_le~wage_agreement_ind_07 | minmax_year+naf2d_num_main
wage_agreement_fail_07,0.014821672687557956,0.0021363599018085905,6.9378163646538615,7.354910633847178e-10,fe0215_le,~minmax_year,12,6799,6799,0.020724996477323177,0.008177670746847943,0.0021968233471874044,0.002048163755910215,le5_panelsize0-acco,fe0215_le~wage_agreement_fail_07 | minmax_year
wage_agreement_fail_07,0.011685722027928405,0.0021673155076474475,5.391795512326162,6.159324643364181e-7,fe0215_le,~minmax_year,12,6799,6799,0.022889933972839005,0.010222883496849855,0.004402722101377932,0.004106016013492808,le5_panelsize0-acco,fe0215_le~wage_agreement_fail_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.004909071976086343,0.0014007571640952403,3.50458459318832,7.323067232231002e-4,fe0215_le,~minmax_year,12,6799,6799,0.022889933972839005,0.010222883496849855,0.004402722101377932,0.004106016013492808,le5_panelsize0-acco,fe0215_le~wage_agreement_fail_07+ln_emp_mean_0215 | minmax_year
wage_agreement_fail_07,0.006479264546608519,0.0019434602307063292,3.3338806960066796,0.0012703254416755326,fe0215_le,~minmax_year,12,6799,6799,0.2485934188543366,0.23059768961768046,5.334126000232642e-4,3.8286785120567046e-4,le5_panelsize0-acco,fe0215_le~wage_agreement_fail_07 | minmax_year+naf2d_num_main
