an,annai,tenure,n_individuals,n_eqtp
2019,1948,2,275,56.40824175824176
2019,1950,3,276,79.90714285714286
2016,1952,9,277,178.52091238839284
2016,1950,6,278,108.77437113667582
2010,1946,6,280,163.49175824175825
2019,1954,6,282,149.0912087912088
2015,1950,9,283,150.21923076923076
2014,1948,4,289,108.50604395604395
2019,1954,7,289,147.57637362637362
2013,1948,6,300,144.44285714285715
2017,1954,9,300,211.52857142857144
2019,1946,1,301,30.097252747252746
2003,1976,9,302,258.35274725274724
2015,1990,10,303,272.8131868131868
2018,1954,8,303,181.23406593406594
2014,1950,6,304,139.89505494505494
2015,1950,6,304,127.3467032967033
2017,1992,10,306,285.89065934065934
2011,1946,6,307,154.76263736263735
2016,1952,7,307,175.01627103365385
2018,1952,6,308,121.97692307692307
2018,1952,5,309,125.29175824175825
2014,1988,10,313,294.79505494505497
2012,1948,6,316,166.5989010989011
2007,1980,10,320,289.5285714285714
2011,1948,8,320,214.89120879120878
2011,1950,9,321,226.6543956043956
2012,1946,3,322,105.56318681318682
2017,1954,8,323,182.02692307692308
2018,1948,2,326,82.80824175824176
2019,1954,8,332,178.45219780219782
2015,1948,3,333,92.83681318681319
2016,1952,6,335,177.86256546188187
2014,1946,2,336,75.68406593406593
2014,1950,7,336,187.98461538461538
2015,1952,7,336,212.61263736263737
2013,1948,5,340,149.9412087912088
2004,1978,8,341,285.9049450549451
2012,1986,9,341,308.11978021978024
2014,1950,9,343,213.65714285714284
2017,1950,3,343,103.83571428571429
2018,1946,1,344,35.879120879120876
2004,1976,9,346,310.57142857142856
2012,1948,7,346,194.08846153846153
2012,1986,10,346,321.8813186813187
2011,1946,4,350,147.49175824175825
2016,1950,5,350,128.82677712912087
2007,1982,8,351,296.21263736263734
2016,1950,4,352,114.05443531078296
2017,1952,6,353,176.15164835164836
2015,1952,8,354,226.7945054945055
2016,1948,2,354,93.07261010473901
2018,1952,4,355,130.62417582417584
2006,1946,9,356,275.0692307692308
2019,1946,10,357,154.9532967032967
2012,1950,9,365,263.17967032967033
2014,1950,8,366,203.1043956043956
2018,1950,3,370,121.98571428571428
2007,1946,5,372,245.11318681318681
2016,1950,3,372,121.67403738839286
2018,1946,10,374,164.75934065934067
2019,1954,5,377,164.79780219780218
2019,1956,9,378,246.06593406593407
2004,1976,10,380,344.31813186813184
2008,1946,5,381,247.67142857142858
2009,1948,7,381,257.9472527472527
2013,1946,2,383,104.34395604395604
2014,1948,3,383,129.03516483516484
2011,1948,7,384,234.87912087912088
2012,1948,5,384,185.72197802197803
2013,1950,9,385,254.3087912087912
2011,1946,5,386,167.37692307692308
2013,1948,4,386,139.2532967032967
2017,1948,2,387,115.72967032967033
2011,1946,3,391,150.13681318681319
2019,1952,4,393,136.37582417582416
2018,1954,6,394,202.66043956043956
2015,1950,5,397,155.81483516483516
2006,1978,10,398,364.8510989010989
2002,1976,8,399,333.63516483516486
2017,1946,1,399,42.83956043956044
2019,1956,7,399,246.44065934065935
2017,1954,7,402,252.21813186813188
2009,1946,5,403,229.2032967032967
2017,1952,5,406,179.59615384615384
2006,1946,8,408,307.6313186813187
2015,1952,9,408,253.47142857142856
2010,1946,5,410,212.52472527472528
2009,1982,10,411,389.0521978021978
2014,1950,5,411,175.6686813186813
2018,1992,10,416,365.6032967032967
2003,1976,8,417,353.9291208791209
2015,1952,6,417,242.0708791208791
2017,1946,10,419,196.2076923076923
2018,1954,5,423,217.07582417582418
2013,1950,5,425,202.78186813186812
2003,1978,7,428,348.96923076923076
2015,1948,2,433,109.25934065934067
2008,1948,9,434,321.6521978021978
2017,1952,4,435,189.01043956043955
2010,1948,7,440,290.4747252747253
2011,1986,8,442,371.2
2011,1948,5,445,239.80769230769232
2013,1950,8,445,285.25494505494504
